9789609495387,128,30,1,4/1/2014,GR
9789609495424,129,30,1,4/1/2014,GR
9789609764117,130,31,1,11/1/2013,GR
9789609812337,131,32,4,5/1/2009,GR
9789609935074,132,30,1,12/1/2013,GR
9789604616251,133,4,1,1/1/2015,GR
9789604610211,134,4,1,1/1/2007,GR
9789604614547,135,4,1,2/1/2014,GR
9789604616053,136,4,1,2/1/2014,GR
9789604615742,137,4,1,2/2/2014,GR
9789600227550,138,33,1,11/1/2013,GR
9789600434460,139,34,1,5/1/2007,GR
9789603756224,140,11,1,2/1/2004,GR
9789604183227,141,15,3,9/1/2011,GR
9789604552894,142,11,1,10/1/2008,GR
9789604552900,143,11,3,10/1/2008,GR
9789604819690,144,17,1,1/1/2013,GR
9789605126735,145,19,3,1/2/2013,GR
9789605622428,146,35,1,4/1/2014,GR
9789605640576,147,36,1,5/1/2013,GR
9789606789182,148,25,1,5/1/2014,GR
9789606919992,149,37,1,11/1/2010,GR
9789609907064,150,38,1,6/1/2014,GR
9789604611607,151,4,1,7/1/2008,GR
9789605126469,152,19,1,7/1/2012,GR
9789602095812,153,4,1,1/1/2002,GR
9789604616114,154,4,1,5/1/2014,GR
9789604612567,155,4,1,5/2/2014,GR
9789600339765,156,2,1,1/1/2005,GR
9789602182864,157,5,1,1/1/2003,GR
9789604860579,158,39,5,5/1/2012,GR
9789605014339,159,11,1,10/1/2011,GR
9789606863332,160,40,1,1/1/2010,GR
9789608255852,161,41,1,1/1/2006,GR
9789604615964,162,4,1,12/1/2013,GR
9789604616039,163,4,1,5/1/2014,GR
9789604616046,164,4,1,5/1/2014,GR
9789603322092,165,4,1,12/1/2014,GR
9789604183258,166,15,1,4/1/2013,GR
9789604184057,167,15,1,3/1/2013,GR
9789604612505,168,4,3,3/2/2013,GR
9789604614981,169,4,1,9/1/2012,GR
9789604615773,170,4,1,9/1/2013,GR
9789604616206,171,4,1,11/1/2014,GR
9789605126551,172,19,1,4/10/2014,GR
9789605126568,173,19,1,6/1/2013,GR
9789605126599,174,19,6,12/1/2013,GR
9789605126742,175,19,1,4/11/2014,GR
9789605313111,176,21,1,11/1/2013,GR
9789609350341,177,42,1,6/1/2013,GR
9789609732079,178,43,1,1/1/2015,GR
9789609907057,179,38,4,9/1/2013,GR
9789601221823,180,44,1,7/1/2014,GR
9789602097229,181,4,1,1/1/2004,GR
9789602098011,182,4,1,1/1/2005,GR
